given,family,country
Василий,Фомин,russia
Анатолий,Мартынов,russia
Юрий,Щербук,russia
Всеволод,Ткачук,russia
Владимир,Котляков,russia
Петр,Чекмарев,russia
Laurie,Glimcher,us
Frederick,Sanger,us
Steven,Tanksley,us
Norman,Phillips,us
James,Darnell,us
Thomas,Eisner,us
Donald,Hunten,us
William,Brinkman,us
Albert,Eschenmoser,us
Eloise,Giblett,us
George,Preston,us
Robert,Desimone,us
Margaret,Tolbert,us
Grace,Wahba,us
Kerry,Smith,us
Gerald,Shulman,us
Ofer,Bar-Yosef,us
Daniel,Gajdusek,us
Avinash,Dixit,us
Harald,Reuter,us
Gergely,Csibra,us
Albert,Chapelle,us
John,Hayes,us
Major,Goodman,us
Guido,Munch,us
Thomas,Meyer,us
Carl,Woese,us
Manuel,Blum,us
Ronald,Davis,us
Wolfgang,Lutz,us
Philip,Johnson-Laird,us
Carl,Heiles,us
Joseph,Takahashi,us
Jean-Michel,Saveant,us
Stephen,Goff,us
Barry,Sharpless,us
James,Bjorken,us
John,Ross,us
Mary,Estes,us
Peter,Hagoort,us
Michael,Gazzaniga,us
Ann,Nelson,us
Kenneth,Wachter,us
Hilary,Koprowski,us
Pedro,Sanchez,us
Jan,Achenbach,us
Larry,Abbott,us
Robert,Alberty,us
Allen,Puckett,us
Jerome,Friedman,us
Peter,Stang,us
David,Nelson,us
Marianne,Frankenhaeuser,us
John,Sedat,us
Peter,Rossky,us
George,Denton,us
Stephen,Adler,us
Angela,Gronenborn,us
Stephen,Elledge,us
Lynn,Landmesser,us
Lincoln,Wolfenstein,us
Mark,Groudine,us
Mary-Lou,Pardue,us
John,Roberts,us
Stephen,Mayo,us
Albert,Meyers,us
Bob,Buchanan,us
Todd,Klaenhammer,us
Emanuel,Epstein,us
Shrinivas,Kulkarni,us
Barbara,Dosher,us
Wick,Haxton,us
Philip,Green,us
Donald,Zilversmit,us
Paul,Kaesberg,us
Eckard,Wimmer,us
Richard,Locksley,us
Rainer,Weiss,us
Veerabhadran,Ramanathan,us
Stanford,Woosley,us
Lois,Miller,us
Jack,Goody,us
Saul,Perlmutter,us
Heinrich,Rohrer,us
David,Buckingham,us
Andrzej,Tarkowski,us
Peter,Moore,us
John,Chipman,us
David,Kingsley,us
Jorge,Galan,us
Vernon,Smith,us
Hans,Schellnhuber,us
Simon,Ramo,us
Robert,Burris,us
Ken,Thompson,us
Yuet,Kan,us
Solomon,Snyder,us
Donald,Rubin,us
Teruaki,Mukaiyama,us
Edmond,Fischer,us
Alfred,Redfield,us
Lawrence,Weiskrantz,us
Marvin,Chodorow,us
Hugh,McDevitt,us
Louise,Chow,us
Frederick,Hawthorne,us
Larry,Squire,us
Wah,Chiu,us
Herwig,Kogelnik,us
Rudolf,Jaenisch,us
Richard,Lerner,us
Edwin,Lightfoot,us
Per,Andersen,us
Robert,Selander,us
Keith,Yamamoto,us
Iva,Greenwald,us
Rolf,Huisgen,us
Esther,Duflo,us
Susan,Horwitz,us
Dale,Harlingen,us
Stanley,Prusiner,us
Riccardo,Dalla-Favera,us
Howard,Stone,us
Kurt,Wüthrich,us
Richard,Nisbett,us
Se-Jin,Lee,us
Charles,Stevens,us
Jan-Ake,Gustafsson,us
Kenneth,McKay,us
Anthony,Leggett,us
Philip,Beachy,us
Peter,Bickel,us
Jerome,Karle,us
Kenneth,Kinzler,us
Leroy,Hood,us
Leif,Andersson,us
David,Raup,us
Patrick,Suppes,us
Carver,Mead,us
Liqun,Luo,us
Estella,Leopold,us
Andrew,Marks,us
Ronald,Germain,us
Stanley,Prusiner,us
John,Hildebrand,us
James,Fearon,us
Leonid,Keldysh,us
Robert,Engle,us
Hamish,Robertson,us
Charles,Slichter,us
Walter,Gehring,us
George,Somero,us
Julius,Rebek,us
David,Turnbull,us
Harold,Scheraga,us
Leopold,Pospisil,us
Rudi,Schmid,us
Richard,Durrett,us
Melvin,Schwartz,us
Andrew,Streitwieser,us
Morris,Halle,us
Akira,Endo,us
Peter,Palese,us
Sherman,Weissman,us
Sean,Solomon,us
Samuel,Preston,us
Margarita,Salas,us
Eric,Conn,us
John,Mekalanos,us
Edward,Lewis,us
Robert,Wasserman,us
Michael,Lynch,us
Donald,Metcalf,us
Zachary,Fisk,us
Mitzi,Kuroda,us
Susan,Golden,us
Owen,Witte,us
Albert,Crewe,us
Gerald,Schubert,us
Takashi,Sugimura,us
Shirley,Jeffrey,us
Jay,Dunlap,us
Susan,Taylor,us
Herman,Eisen,us
William,Labov,us
Frank,Brink,us
Bryan,Harrison,us
Guyford,Stever,us
Steven,Boxer,us
Wolfhard,Almers,us
Jeremy,Knowles,us
Shiv,Grewal,us
Lynn,Sykes,us
William,Chameides,us
James,Watson,us
Randy,Schekman,us
Edward,Goldberg,us
Butler,Lampson,us
Jon,Rood,us
Clara,Franzini-Armstrong,us
Susan,Gottesman,us
John,Joannopoulos,us
Daniel,Cosgrove,us
Ronald,Woodman,us
Alejandro,Portes,us
Barbara,Jacak,us
Stephen,Young,us
Philip,Leder,us
Charles,Sawyers,us
Michael,Elliott,us
Allan,Spradling,us
Adam,Burrows,us
Donald,Ganem,us
Dan,Littman,us
Arthur,Lachenbruch,us
Lila,Gleitman,us
Nancy,Kopell,us
Kai,Simons,us
May,Berenbaum,us
Cynthia,Dwork,us
David,Walker,us
Gary,Horowitz,us
Richard,Dickerson,us
James,Etten,us
Robert,Perry,us
Arthur,Horwich,us
George,Hess,us
Gretchen,Daily,us
Elwood,Jensen,us
Charles,Alcock,us
Serge,Haroche,us
Russ,Bernard,us
Robert,Wilson,us
Stanley,Fields,us
Karen,Cook,us
David,Kreps,us
Alexandra,Navrotsky,us
Joachim,Frank,us
Martin,Bukovac,us
Ranulfo,Romo,us
Sérgio,Ferreira,us
James,Eisenstein,us
David,Evans,us
Steven,Stanley,us
Claude,Steele,us
Joshua,Sanes,us
Janet,Franklin,us
Margaret,Buckingham,us
Pablo,Debenedetti,us
Emmanuel,Mignot,us
Daniel,Kleppner,us
Walter,Fitch,us
Frances,Allen,us
George,Seidel,us
Douglas,Coombs,us
Robert,Griffiths,us
John,Cairns,us
Frederick,Alt,us
Jane,Guyer,us
Gordon,Bell,us
Manuel,Peimbert,us
Ravinder,Maini,us
Elliot,Meyerowitz,us
Charles,Casey,us
Joel,Lebowitz,us
Claire,Max,us
John,Rowell,us
Romuald,Schild,us
Catherine,Fowler,us
Calvin,Quate,us
Richard,Axel,us
Anatol,Roshko,us
Marc,Tessier-Lavigne,us
Johan,Olsen,us
Sen-itiroh,Hakomori,us
June,Nasrallah,us
Barbara,Imperiali,us
David,Page,us
Frederick,Bormann,us
Gordon,Sato,us
Susan,Solomon,us
Sheldon,Penman,us
George,Papanicolaou,us
Johannes,Geiss,us
Elke,Weber,us
David,Meyer,us
Brian,Druker,us
Ruslan,Medzhitov,us
William,Dietrich,us
Howard,Berg,us
William,Sly,us
Philip,Hieter,us
David,Stevenson,us
Carl,Ballhausen,us
Tony,Hunter,us
Thomas,Schelling,us
John,Glomset,us
Jerry,Melillo,us
James,Black,us
Oscar,Ratnoff,us
Thomas,Ahrens,us
Robert,Schrieffer,us
Floyd,Bloom,us
Henry,Lardy,us
Ruth,DeFries,us
Mu-ming,Poo,us
Stuart,Orkin,us
Jiazhen,Tan,us
JoAnne,Stubbe,us
Malvin,Ruderman,us
Richard,Witter,us
Marcus,Raichle,us
Alan,Hoffman,us
Henry,Wright,us
Ho-kwang,Mao,us
Phil,Baran,us
Allan,MacDonald,us
Richard,Shiffrin,us
Richard,Schrock,us
Rudolf,Trümpy,us
Anthony,Wallace,us
Michael,Bishop,us
Seymour,Klebanoff,us
Peter,Wolynes,us
Jacob,Ziv,us
James,Allen,us
Judith,Cohen,us
Werner,Arber,us
Ping,Tien,us
Charles,Gross,us
Charles,Radding,us
Ronald,Phillips,us
Charles,Richardson,us
Wing,Wong,us
Francis,Dahlen,us
Melanie,Cobb,us
Stephen,Fienberg,us
Robert,Kraichnan,us
Peter,Rentzepis,us
Robert,Baldwin,us
Jon,Kaas,us
Jack,Sandweiss,us
Paul,Hoffman,us
Richard,Havel,us
Richard,Held,us
John,Dewey,us
John,Cahn,us
Ellen,Mosley-Thompson,us
Gordon,Orians,us
Susan,McConnell,us
Alexander,Rudensky,us
Granger,Morgan,us
Douglas,Lilly,us
Aron,Moscona,us
Alan,Cottrell,us
Aaron,Lerner,us
E-An,Zen,us
Stanley,Gartler,us
Russell,Doolittle,us
Stephen,Mayo,us
Rodolfo,Llinás,us
Paul,Kay,us
Brian,Matthews,us
Bruce,Draine,us
Edward,David,us
George,Church,us
Robert,Shulman,us
Robert,Solow,us
Richard,Taylor,us
Douglas,Rees,us
Andrea,Ghez,us
Geoffrey,Heal,us
Max,Birnstiel,us
Craig,Thompson,us
Shinya,Inoue,us
Ellis,Cowling,us
Jerry,Gollub,us
Erkki,Ruoslahti,us
Marye,Fox,us
Omar,Yaghi,us
Hee-Sup,Shin,us
Christopher,Sims,us
Steven,Block,us
Marvin,Minsky,us
Sandra,Faber,us
Luna,Leopold,us
George,Parshall,us
George,Thompson,us
Ray,Weymann,us
William,Dove,us
Herman,Chernoff,us
Myron,Brakke,us
Sue,Biggins,us
Clark,Cockerham,us
Erick,Carreira,us
Michael,Rosbash,us
Glauco,Tocchini-Valentini,us
Martin,Gruebele,us
Eldon,Newcomb,us
Robert,Kates,us
Steven,Henikoff,us
Edwin,Roedder,us
Larry,Overman,us
Robert,Dynes,us
Edmond,Malinvaud,us
Marcetta,Darensbourg,us
Lawrence,Rabiner,us
James,Cleaver,us
Ross,Macdonald,us
Elizabeth,Neufeld,us
William,Daughaday,us
Peter,Strick,us
Janet,Hemingway,us
Yuan-Cheng,Fung,us
Jean,Dausset,us
David,Forney,us
Gerhard,Ertl,us
Peter,Wyllie,us
Silvio,Micali,us
Elizabeth,Craig,us
Susan,Kieffer,us
Jake,MacMillan,us
Marshall,Sahlins,us
Cyril,Harris,us
Francisco,Ayala,us
