given,family,country
Sven-Erik,Hjelt,finland
Jaakko,Tuomilehto,finland
Teuvo,Ahti,finland
Simo,Heininen,finland
Maija,Julkunen-Tiitto,finland
Ahti,Salo,finland
Aapo,Hyvärinen,finland
Tero,Heikkilä,finland
Veli,Pyykkö,finland
Matti,Leikola,finland
Katri,Huitu,finland
Kimmo,Rentola,finland
Ari,Laaksonen,finland
Pertti,Pyörälä,finland
Marja,Vauras,finland
Juuso,Välimäki,finland
Leeni,Waenerberg,finland
Timo,Koponen,finland
Pekka,Koskela,finland
Heikki,Henttonen,finland
Pekka,Korhonen,finland
Jaakko,Kangasjärvi,finland
Jukka,Korpela,finland
Esa,Itkonen,finland
Kaius,Tuori,finland
Jorma,Sipilä,finland
Janne,Backman,finland
Ilya,Usoskin,finland
Markku,Räsänen,finland
Markku,Peltonen,finland
Yrjö,Neuvo,finland
Heli,Peltola,finland
Jouni,Suhonen,finland
Eero,Paavilainen,finland
Esko,Poutiainen,finland
Jorma,Kangas,finland
Helena,Aksela,finland
Mikko,Salo,finland
Ari,Sihvola,finland
Irma,Hyvärinen,finland
Eero,Byckling,finland
Dmitry,Murzin,finland
Petri,Pellikka,finland
Simo,Knuuttila,finland
Helge,Lemmetyinen,finland
Jarmo,Tuomisto,finland
Pekka,Männistö,finland
Hannu,Soikkanen,finland
Jouko,Korppi-Tommola,finland
Kari,Cantell,finland
Eija,Ventola,finland
Aarre,Kangas,finland
Kimmo,Kaski,finland
Reijo,Vihko,finland
Lotte,Tarkka,finland
Pertti,Panula,finland
Craig,Primmer,finland
Martti,Koskenniemi,finland
Erkki,Thuneberg,finland
Martti,Luukkanen,finland
Jarkko,Hautamäki,finland
Isto,Ruoppila,finland
Eero,Vuorio,finland
Aino,Järvenpää,finland
Jukka,Seppälä,finland
Marikki,Laiho,finland
Pirkko-Liisa,Haarmann,finland
Jussi,Niemi,finland
Jorma,Viikari,finland
Olli,Koistinen,finland
Riitta,Mappes,finland
Kari,Alitalo,finland
Pauli,Kettunen,finland
Matti,Jutila,finland
Jouko,Mickelsson,finland
Lena,Sisula-Tulokas,finland
Olli-Pekka,Vehviläinen,finland
Heikki,Rauvala,finland
Jaakko,Hämeen-Anttila,finland
Reijo,Tilvis,finland
Erkki,Oja,finland
Briitta,Koskiaho-Cronström,finland
Markus,Jäntti,finland
Lauri,Halonen,finland
Laura,Stark,finland
Taina,Pihlajaniemi,finland
Veli-Pekka,Salonen,finland
Eero,Castrén,finland
Olli,Ikkala,finland
Outi,Vaarala,finland
Jarkko,Kari,finland
Matti,Keltikangas,finland
Heikki,Mannila,finland
Jukka,Westermarck,finland
Ilmo,Kukkonen,finland
Mikko,Puhakka,finland
Ilkka,Pyysiäinen,finland
Erkki,Annila,finland
Peter,Lund,finland
Pirjo,Peltonen-Sainio,finland
Teuvo,Maalampi,finland
Erkki,Tomppo,finland
Ilpo,Laine,finland
Lauri,Harvilahti,finland
Erno,Lehtinen,finland
Taimi,Nevalainen,finland
Moncef,Gabbouj,finland
Kari,Keinästö,finland
Risto,Alapuro,finland
Kaarlo,Tuori,finland
Petri,Pihko,finland
Niilo,Kauppi,finland
Marjaana,Niemi,finland
Sirpa,Leppänen,finland
Atte,Moilanen,finland
Klaus,Helkama,finland
Viljo,Rasila,finland
Johan,Lilius,finland
Seppo,Zetterberg,finland
Pertti,Haapala,finland
Tuula,Salo,finland
Carl,Gahmberg,finland
Jaakko,Pehkonen,finland
Helena,Rasku-Puttonen,finland
Asla,Pitkänen,finland
Anna,Krause,finland
Ville,Lukkarinen,finland
Elina,Ikonen,finland
Markku,Löytönen,finland
Peter,Liljeroth,finland
Päivi,Peltomäki,finland
Erkki,Riihinen,finland
Janne,Kotiaho,finland
Jussi,Väisälä,finland
Tapio,Hämynen,finland
Johanna,Ruusuvuori,finland
Petri,Auvinen,finland
Seppo,Salminen,finland
Pekka,Pamilo,finland
Erkki,Somersalo,finland
Pekka,Hautojärvi,finland
Ilkka,Julkunen,finland
Juri,Poutanen,finland
Jukka,Corander,finland
Eva,Steinby,finland
Matti,Peltonen,finland
Olli,Tahvonen,finland
Vesa,Mönkkönen,finland
Markku,Ollikainen,finland
Lauri,Pesonen,finland
Risto,Korhonen,finland
Hannu,Nurmi,finland
Pertti,Kansanen,finland
Sanna-Kaisa,Tanskanen,finland
Martin,Scheinin,finland
Jussi,Kukkonen,finland
Mikko,Paalanen,finland
Kimmo,Katajala,finland
Timo,Vihavainen,finland
Erkki,Kemppainen,finland
Lauri,Aaltonen,finland
Jarkko,Saarinen,finland
Pentti,Haddington,finland
Jorma,Ahvenainen,finland
Reino,Pelkonen,finland
Kirsi-Maaria,Vainio-Korhonen,finland
Antti,Jaakkola,finland
Aleksi,Vuorinen,finland
Arto,Haapala,finland
Anne,Toppinen,finland
Timo,Siponen,finland
Raija,Bartens,finland
Matti,Tuomala,finland
Olli-Pekka,Kallioniemi,finland
Hilkka,Soininen,finland
Juha,Harviainen,finland
Heikki,Peltola,finland
Markku,Kulmala,finland
Alho,Alhoniemi,finland
Jukka,Pekola,finland
Tapio,Visakorpi,finland
Mikko,Nikinmaa,finland
